"title","doi","primary_location"
"Closing the Awareness Gap Between IT Practice and IT Law - Critical Legal Positivism Applied in the Domain of IT Law","",""
"Language Resources as Linked Data for the Legal Domain","",""
"Spanish Corpora for Sentiment Analysis: a Survey","10.1007/s10579-019-09470-8",""
"Taxi dispatching strategies with compensations","10.1016/j.eswa.2019.01.001",""
"Retraction notice to “Applying case-based reasoning in social computing to transform colors into music” (Engineering Applications of Artificial Intelligence (2018) 72 (1–9), (S0952197618300563), (10.1016/j.engappai.2018.03.007))","10.1016/j.engappai.2019.03.007",""
"VICINITY: IoT Semantic Interoperability Based on the Web of Things","10.1109/DCOSS.2019.00061",""
"Prediction and Decision-Making in Intelligent Environments Supported by Knowledge Graphs, A Systematic Review","10.3390/s19081774","https://www.mdpi.com/1424-8220/19/8/1774/pdf?version=1555141210"
"Calculating Heavy-Duty truck energy and fuel consumption using correlation formulas derived from vecto simulations","10.4271/2019-01-1278",""
"A generalized component efficiency and Input-Data generation model for creating Fleet-Representative vehicle simulation cases in vecto","10.4271/2019-01-1280",""
"An intelligent interface for integrating climate, hydrology, agriculture, and socioeconomic models","10.1145/3308557.3308711",""
"A sustainable process and toolbox for geographical linked data generation and publication: a case study with BTN100","10.1186/s40965-019-0060-4","https://opengeospatialdata.springeropen.com/track/pdf/10.1186/s40965-019-0060-4"
"Toward proactive social inclusion powered by machine learning","10.1007/s10115-018-1230-x",""
"Enhancing energy management at district and building levels via an EM-KPI ontology","10.1016/j.autcon.2018.12.010",""
"A framework for connecting two interoperability universes: OGC Web Feature Services and Linked Data","10.1111/tgis.12496",""
"ETSI TS 103 410-3. SmartM2M; Smart Appliances extension to SA","",""
"ETSI TS 103 410-4. SmartM2M; Smart Appliances extension to SA","",""
"ETSI TS 103 410-5. SmartM2M; Smart Appliances extension to SA","",""
"Best practices for publishing, retrieving, and using spatial data on the web","10.3233/SW-180305",""
"Completeness and consistency analysis for evolving knowledge bases","10.1016/j.websem.2018.11.004",""
"The modular SSN ontology: A joint W3C and OGC standard specifying the semantics of sensors, observations, sampling, and actuation","10.3233/SW-180320",""
"Ontological Representation of Smart City Data: From Devices to Cities","10.3390/app9010032","https://www.mdpi.com/2076-3417/9/1/32/pdf?version=1545833153"
"CORAL: A corpus of ontological requirements annotated with lexico-syntactic patterns","10.1007/978-3-030-21348-0_29",""
"Supervising attention in an e-learning system","10.1007/978-3-030-01746-0_46",""
"Towards a Knowledge Graph Based Platform for Public Procurement","10.1007/978-3-030-14401-2_29",""
"Conformance Test Cases for the RDF Mapping Language (RML)","10.1007/978-3-030-21395-4_12",""
"Themis: A tool for validating ontologies through requirements","10.18293/SEKE2019-117","https://doi.org/10.18293/seke2019-117"
"Morph-GraphQL: GraphQL servers generation from R2RML mappings (SESE)","10.18293/SEKE2019-055","https://doi.org/10.18293/seke2019-055"
"Introduction to the Special Issue Artificial Intelligence Knowledge Representation","10.3390/systems7030035","https://www.mdpi.com/2079-8954/7/3/35/pdf?version=1563965423"
"Towards a Linked Democracy Model","10.1007/978-3-030-13363-4_4","https://link.springer.com/content/pdf/10.1007%2F978-3-030-13363-4_4.pdf"
"Deliberative and Epistemic Approaches to Democracy","10.1007/978-3-030-13363-4_2","https://link.springer.com/content/pdf/10.1007%2F978-3-030-13363-4_2.pdf"
"Linked Democracy Foundations, Tools, and Applications Introduction to Linked Data","10.1007/978-3-030-13363-4_1","https://link.springer.com/content/pdf/10.1007%2F978-3-030-13363-4_1.pdf"
"Legal Linked Data Ecosystems and the Rule of Law","10.1007/978-3-030-13363-4_5","https://link.springer.com/content/pdf/10.1007%2F978-3-030-13363-4_5.pdf"
"Multilayered Linked Democracy","10.1007/978-3-030-13363-4_3","https://link.springer.com/content/pdf/10.1007%2F978-3-030-13363-4_3.pdf"
"Linked Democracy Foundations, Tools, and Applications Conclusion","10.1007/978-3-030-13363-4_6","https://link.springer.com/content/pdf/10.1007%2F978-3-030-13363-4_6.pdf"
"An Abstract Framework for Non-Cooperative Multi-Agent Planning","10.3390/app9235180","https://www.mdpi.com/2076-3417/9/23/5180/pdf?version=1575008421"
"Towards an Ontology for Public Procurement Based on the Open Contracting Data Standard","10.1007/978-3-030-29374-1_19",""
"SAD Generator: Eating Our Own Dog Food to Generate KGs and Websites for Academic Events","10.1007/978-3-030-32327-1_19",""
"Towards Blockchain and Semantic Web","10.1007/978-3-030-36691-9_19",""
"Towards human-guided machine learning","10.1145/3301275.3302324",""
"A quality assessment approach for evolving knowledge bases","10.3233/SW-180324",""
"Ontology-driven semantic unified modelling for concurrent activity recognition (OSCAR)","10.1007/s11042-018-6318-5",""
"Extension of the BIdo ontology to represent scientific production","10.1145/3318396.3318422",""
"Automatic music generation by deep learning","10.1007/978-3-319-94649-8_34",""
"Social services diagnosis by deep learning","10.1007/978-3-319-94649-8_38",""
"Similar Terms Grouping Yields Faster Terminological Saturation","10.1007/978-3-030-13929-2_3",""
"Using the SPAR ontology network to represent the scientific production of a university: A case study","10.1007/978-3-030-16187-3_20",""
"An intelligent and autoadaptive system of virtual identities based on deep learning for the analysis of online advertising networks","10.1007/978-3-030-24299-2_26",""
"Linked Democracy Foundations, Tools, and Applications Preface","10.1007/978-3-030-13363-4",""
"TempCourt: evaluation of temporal taggers on a new corpus of court decisions","10.1017/S0269888919000195",""
"ContractFrames: Bridging the Gap Between Natural Language and Logics in Contract Law","10.1007/978-3-030-31605-1_9",""
"What are the parameters that affect the construction of a knowledge graph?","10.1007/978-3-030-33246-4_43",""
"How to Validate Ontologies with Themis","10.1007/978-3-030-32327-1_11",""
"PSM-Flow: Probabilistic Subgraph Mining for Discovering Reusable Fragments in Workflows","10.1109/WI.2018.00-93",""
"Towards Automated Hypothesis Testing in Neuroscience","10.1007/978-3-030-33752-0_18",""
"Automatic enrichment of terminological resources: The IATE RDF example","",""
"Optimizing automated term extraction for terminological saturation measurement","","http://ceur-ws.org/Vol-2387/20190001.pdf"
"Onett: Systematic knowledge graph generation for national access points","","http://ceur-ws.org/Vol-2447/paper8.pdf"
"The semantic sensor network ontology, revamped","",""
"Videogames: a lexical approach","",""
"GraphQL servers generation from R2RML mappings with morph-GraphQL (DEMO)","",""
"An overview of the TBFY knowledge graph for public procurement","","http://ceur-ws.org/Vol-2456/paper14.pdf"
"Towards the definition of a language-independent mapping template for knowledge graph creation","","http://ceur-ws.org/Vol-2526/short3.pdf"
"Preface for the knowledge graph building and large scale RDF analytics workshops","",""
"ISWC 2019 posters & demonstrations, industry, and outrageous ideas tracks","",""
"Building up communication skills: professional and academic training for engineers","9788417969059",""
"Semantic workflows for benchmark challenges: Enhancing comparability, reusability and reproducibility","",""
"T2WML: A cell-based language to map tables into wikidata records","","http://ceur-ws.org/Vol-2456/paper12.pdf"
"Semantic workflows and machine learning for the assessment of carbon storage by urban trees","10.48550/arxiv.2009.10263",""
"WDPlus: Leveraging wikidata to link and extend tabular data","","http://ceur-ws.org/Vol-2526/short4.pdf"
"Linking abstract plans of scientific experiments to their corresponding execution traces","",""
"Ontological representation of smart city data: From devices to cities","10.3390/app9010032","https://www.mdpi.com/2076-3417/9/1/32/pdf?version=1545833153"
"CORAL: a corpus of ontological requirements annotated with lexico-syntactic patterns","10.1007/978-3-030-21348-0_29",""
"VICINITY: IoT semantic interoperability based on the web of things","10.1109/dcoss.2019.00061",""
"Linked Open Terms (LOT) Methodology","",""
"Extension of the BiDO ontology to represent scientific production","10.1145/3318396.3318422",""
"Large-Scale Semantic Exploration of Scientific Literature using Topic-based Hashing Algorithms","10.3233/sw-200373",""
"Legal document retrieval across languages: topic hierarchies based on synsets","","https://arxiv.org/pdf/1911.12637.pdf"
"Towards blockchain and semantic web","10.1007/978-3-030-36691-9_19",""
"Ontologías, Datos Enlazados (Linked Data) y","",""
"Semantic technologies and interoperability in the built environment","10.3233/sw-180321",""
"Proceedings of the 7th Linked Data in Architecture and Construction Workshop (LDAC2019)","",""
"Enhancing the maintainability of the Bio2RDF project using declarative mappings","","http://ceur-ws.org/Vol-2849/paper-01.pdf"
"Semantic software metadata for workflow exploration and evolution","10.1109/eScience.2018.00132",""
"Models to represent linguistic linked data","10.1017/S1351324918000347",""
"Modelling a smart environment for nonintrusive analysis of attention in the workplace","10.1111/exsy.12275",""
"Polypharmacy and drug-drug interactions in HIV-infected subjects in the region of Madrid (Spain): a population-based study","",""
"A Secured and Trusted Demand Response system based on Blockchain technologies","10.1109/INISTA.2018.8466303",""
"Using machine learning to optimize parallelism in big data applications","10.1016/j.future.2017.07.003",""
"Keeping up with storage: Decentralized, write-enabled dynamic geo-replication","10.1016/j.future.2017.06.009",""
"MAS: A Corpus of Tweets for Marketing in Spanish","10.1007/978-3-319-98192-5_53",""
"KerA: Scalable data ingestion for stream processing","10.1109/ICDCS.2018.00152",""
"SLoG: Large-scale logging middleware for HPC and big data convergence","10.1109/ICDCS.2018.00156",""
"TýrFS: Increasing small files access performance with dynamic metadata replication","10.1109/CCGRID.2018.00072",""
"Applying case-based reasoning in social computing to transform colors into music","10.1016/j.engappai.2018.03.007",""
"Smart Waste Collection System with Low Consumption LoRaWAN Nodes and Route Optimization","10.3390/s18051465","https://www.mdpi.com/1424-8220/18/5/1465/pdf"
"Design And Implementation Of A Low-Cost Universal Control For Intelligent Electric Wheelchairs","10.1109/TLA.2018.8408424",""
"Predicting incorrect mappings: A data-driven approach applied to DBpedia","10.1145/3167132.3167164",""
"RDF shape induction using knowledge base profiling","10.1145/3167132.3167341",""
"Relationship recommender system in a business and employment-oriented social network","10.1016/j.ins.2017.12.050",""
"Linked Democracy.Linked Democracy","9783030133634",""
"Drivers, standards and platforms for the IoT: Towards a digital VICINITY","10.1109/IntelliSys.2017.8324287",""
"A Context-Aware Indoor Air Quality System for Sudden Infant Death Syndrome Prevention","10.3390/s18030757","https://www.mdpi.com/1424-8220/18/3/757/pdf?version=1519986905"
"Agent-based tool to reduce the maintenance cost of energy distribution networks","10.1007/s10115-017-1120-7",""
"Students' Evaluation of a Virtual World for Procedural Training in a Tertiary-Education Course","10.1177/0735633117706047",""
"Association between CFH, CFB, ARMS2, SERPINF1, VEGFR1 and VEGF polymorphisms and anatomical and functional response to ranibizumab treatment in neovascular age-related macular degeneration","10.1111/aos.13519",""
"Cross-Evaluation of Automated Term Extraction Tools by Measuring Terminological Saturation","10.1007/978-3-319-76168-8_7",""
"The Influence of the Order of Adding Documents to Datasets on Terminological Saturation","",""
"Increasing the Intensity over Time of an Electric-Assist Bike Based on the User and Route: The Bike Becomes the Gym","10.3390/s18010220","https://www.mdpi.com/1424-8220/18/1/220/pdf?version=1515922049"
"Neural networks in distributed computing and artificial intelligence","10.1016/j.neucom.2017.06.022",""
"Multi-Agent System for Demand Prediction and Trip Visualization in Bike Sharing Systems","10.3390/app8010067","https://www.mdpi.com/2076-3417/8/1/67/pdf?version=1515142581"
"Combination of Multi-Agent Systems and Wireless Sensor Networks for the Monitoring of Cattle","10.3390/s18010108","https://www.mdpi.com/1424-8220/18/1/108/pdf?version=1516694198"
"Predicting the risk of suffering chronic social exclusion with machine learning","10.1007/978-3-319-62410-5_16",""
"A guideline for reporting experimental protocols in life sciences","10.7717/peerj.4795",""
"A Comprehensive Quality Model for Linked Data","10.3233/SW-170267",""
"FMonE: A Flexible Monitoring Solution at the Edge","10.1155/2018/2068278",""
"The apertium bilingual dictionaries on the web of data","10.3233/SW-170258",""
"Dealing with Demand in Electric Grids with an Adaptive Consumption Management Platform","10.1155/2018/4012740",""
"IoT Approaches for Distributed Computing","10.1155/2018/9741053",""
"Classification of retinal vessels using a collaborative agent-based architecture","10.3233/AIC-180772",""
"Assess and Enhancing Attention in Learning Activities","10.1007/978-3-319-73210-7_93",""
"Machine learning-based query augmentation for SPARQL endpoints","10.5220/0006925300570067",""
"Assigning Creative Commons Licenses to Research Metadata: Issues and Cases","10.1007/978-3-030-00178-0_16",""
"Fuzzy semantic labeling of semi-structured numerical datasets","10.1007/978-3-030-03667-6_2",""
"A SAREF extension for semantic interoperability in the industry and manufacturing domain","10.1002/9781119564034.ch25",""
"PROFILES & DATA: SEARCH – International Workshop on Profiling & Searching Data on the Web Chairs’ Welcome","10.1145/3184558.3192316",""
"Semantic Discovery in the Web of Things","10.1007/978-3-319-74433-9_2",""
"Characterize a human-robot interaction: Robot personal assistance","10.1007/978-3-319-62530-0_8",""
"DBtravel: A tourism-oriented semantic graph","10.1007/978-3-030-03056-8_19",""
"Type prediction of RDF knowledge graphs using binary classifiers with structural data","10.1007/978-3-030-03056-8_27",""
"Publishing tourism statistics as linked data a case study of Sri Lanka","10.1007/978-3-030-03056-8_17",""
"Knowledge base evolution analysis: A case study in the tourism domain","10.1007/978-3-030-03056-8_26",""
"Linked-Fiestas: A knowledge graph to promote cultural tourism in Spain","10.1007/978-3-030-03056-8_18",""
"Reuse and Reengineering of Non-ontological Resources in the Legal Domain","10.1007/978-3-030-00178-0_24",""
"A Linked Data Terminology for Copyright Based on Ontolex-Lemon","10.1007/978-3-030-00178-0_28",""
"Requirements behaviour analysis for ontology testing","10.1007/978-3-030-03667-6_8",""
"Inferring types on large datasets applying ontology class hierarchy classifiers: The dbpedia case","10.1007/978-3-030-03667-6_21",""
"CREATING AND IMPROVING EDUCATIONAL MATERIALS: AN APPROACH BASED ON CROWDSOURCING","10.21125/iceri.2018.1854",""
"Reliability and correlation analysis of computed methods to convert conventional 2D radiological hindfoot measurements to a 3D setting using weightbearing CT","10.1007/s11548-018-1727-5",""
"LawORDate: A service for distinguishing legal references from temporal expressions","","http://ceur-ws.org/Vol-2049/04paper.pdf"
"Building the legal knowledge graph for smart compliance services in multilingual Europe","","http://ceur-ws.org/Vol-2049/02paper.pdf"
"Architecting data science education","","http://ceur-ws.org/Vol-2104/paper_266.pdf"
"Challenge-based learning in computational biology and data science","","http://ceur-ws.org/Vol-2104/paper_236.pdf"
"Refining terminological saturation using string similarity measures","","http://ceur-ws.org/Vol-2105/10000003.pdf"
"Spanish corpus of tweets for marketing","10.1007/978-3-319-98192-5_53",""
"SlideWiki - Towards a collaborative and accessible platform for slide presentations","",""
"Ontological requirement specification for smart irrigation systems: A SOSA/SSN and SAREF comparison","","https://hal.science/hal-02042584/document"
"Proceedings of the 9th international semantic sensor networks workshop (SSN 2018) held at the 17th International Semantic Web Conference (ISWC 2018)","",""
"Extending the SAREF ontology for building devices and topology?","",""
"Besoins ontologiques d'un système d'irrigation intelligent: Comparaison entre SSN et SAREF","","https://hal.science/hal-01841316/document"
"Towards integrating public procurement data into a semantic knowledge graph","","http://ceur-ws.org/Vol-2262/ekaw-poster-01.pdf"
"NLP4Types: predicting types using NLP","","http://ceur-ws.org/Vol-2262/ekaw-demo-19-poster.pdf"
"OOPS!: A Pitfall-Based System for Ontology Diagnosis","",""
"Predicting Incorrect Mappings: A Data-Driven Approach Applied to DBpedia","",""
"DBtravel: A Tourism-Oriented Semantic Graph","10.1007/978-3-030-03056-8_19",""
"Machine Learning-based Query Augmentation for SPARQL Endpoints","10.5220/0006925300570067",""
"Inferring Types on Large Datasets Applying Ontology Class Hierarchy Classifiers: The DBpedia Case","10.1007/978-3-030-03667-6_21",""
"Publishing Tourism Statistics as Linked Data a Case Study of Sri Lanka","10.1007/978-3-030-03056-8_17",""
"Extending the SAREF ontology for building devices and topology","",""
"Ontological requirement specification for smart irrigation systems: a SOSA/SSN and SAREF comparison","","https://hal.science/hal-02042584/document"
"Besoins ontologiques d'un système d'irrigation intelligent: comparaison entre SSN et SAREF","","https://hal.science/hal-01841316/document"
"Enabling interoperability-as-a-service for connected IoT infrastructures and Smart Objects","",""
"Polypharmacy in HIV-infected and non-HIV-infected individuals in the region of Madrid (Spain): A population-based study","",""
"Proceedings of the 6th Linked Data in Architecture and Construction Workshop (LDAC2018)","",""
"Advances in Pattern-Based Ontology Engineering","10.3233/ssw51",""
"OWL: Experiences and Directions – Reasoner Evaluation (13th International Workshop, OWLED 2016, and 5th International Workshop, ORE 2016, Bologna, Italy, November 20, 2016, Revised Selected Papers)","",""
"Linked Open Vocabularies (LOV): a gateway to reusable semantic vocabularies on the","10.3233/sw-160213",""
"Efficient Clustering from Distributions over Topics","10.1145/3148011.3148019",""
"Distributing Text Mining tasks with librAIry","10.1145/3103010.3121040",""
"Quantifying Reproducibility in Computational Biology: The Case of the Tuberculosis Drugome","10.1371/journal.pone.0080278","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0080278&type=printable"
"Review of the state of the art: Discovering and Associating Semantics to Tags in Folksonomies","10.1017/S026988891100018X",""
"Ontology Development by Reuse","10.1007/978-3-642-24794-1_7",""
"Integrating WordNet and Wiktionary with lemon","10.1007/978-3-642-28249-2_3",""
"Ontology Requirements Specification","10.1007/978-3-642-24794-1_5",""
"The NeOn Methodology for Ontology Engineering","10.1007/978-3-642-24794-1_2",""
"Introduction: Ontology Engineering in a Networked World","10.1007/978-3-642-24794-1_1",""
"Scheduling Ontology Engineering Projects Using gOntt","10.1007/978-3-642-24794-1_14",""
"A Semantically Enhanced UPnP Control Point for Sharing Multimedia Content","10.1109/MIC.2011.83",""
"The landscape of multimedia ontologies in the last decade","10.1007/s11042-011-0905-z",""
"Five Challenges for the Semantic Sensor Web","10.3233/SW-2010-0005",""
"Developing Ontologies withing Decentralized Settings","10.1007/978-1-4419-5908-9_4",""
"A framework and computer system for knowledge-level acquisition, representation, and reasoning with process knowledge","10.1016/j.ijhcs.2010.05.004",""
"A Tool Suite to Enable Web Designers, Web Application Developers and End-users to Handle Semantic Data","10.4018/jswis.2010070103",""
"A Contribution-based Framework for the Creation of Semantically-enabled Web Applications","10.1016/j.ins.2009.07.004",""
"Semantic Web-enabled Protocol Mediation for the Logistics Domain","10.4018/978-1-60566-066-0.ch004",""
"Semantic Content Mediation and Acquisition: The Challenge for Semantic e-Business Solutions","10.4018/978-1-59904-192-6",""
"Architectural Patterns for the Semantic Grid","10.1007/978-0-387-37831-2_8",""
"A Layered Model for Building Ontology Translation Systems","10.4018/978-1-59904-426-2",""
"Personal eBanking Solutions Based on Semantic Web Services","10.1007/978-3-540-37017-8_13",""
"Legal Ontologies for the spanish e-Government","10.1007/11881216_32",""
"Ontology Based Document Annotation: Trends and Open Research Problems","10.1504/IJMSO.2006.008769",""
"A layered model for building ontology translation systems","10.4018/978-1-59904-426-2",""
"R2O, an extensible and semantically based database-to-ontology mapping language","10.1007/b106149",""
"Reference Ontology and (ONTO)2 Agent: The Ontology Yellow pages","10.1007/PL00011649",""
"Knowledge Maps: An Essential Technique for Conceptualization","10.1016/S0169-023X(99)00050-6",""
